step,epoch,loss,mean_token_accuracy,learning_rate,grad_norm,num_tokens
10,0.004556327599954437,1.3063,0.7286035113036633,1.3636363636363637e-05,1.4407886266708374,52559.0
20,0.009112655199908873,1.0453,0.7572737671434879,2.878787878787879e-05,1.1874041557312012,101641.0
30,0.01366898279986331,0.7238,0.8123662680387497,4.3939393939393944e-05,0.48263391852378845,151800.0
40,0.018225310399817746,0.5516,0.8484699264168739,5.90909090909091e-05,0.46352875232696533,203215.0
50,0.022781637999772182,0.5379,0.8515902280807495,7.424242424242424e-05,0.4452837109565735,254472.0
60,0.02733796559972662,0.454,0.8681069806218147,8.93939393939394e-05,0.31722357869148254,304465.0
70,0.03189429319968106,0.4185,0.8740366734564304,9.985908877407234e-05,0.3533024191856384,354968.0
80,0.03645062079963549,0.4507,0.8665766559541226,9.938938468764679e-05,0.37924954295158386,407845.0
90,0.04100694839958993,0.4373,0.8708562932908535,9.891968060122123e-05,0.47248488664627075,452008.0
100,0.045563275999544364,0.4289,0.8725913129746914,9.844997651479568e-05,0.3331267833709717,496792.0
110,0.0501196035994988,0.4046,0.8784684255719185,9.798027242837014e-05,0.3751993179321289,548725.0
120,0.05467593119945324,0.4126,0.8780749961733818,9.751056834194457e-05,0.419953852891922,600300.0
130,0.059232258799407675,0.4207,0.8741120919585228,9.704086425551903e-05,0.3042506277561188,652747.0
140,0.06378858639936212,0.4406,0.8700592696666718,9.657116016909348e-05,0.2689751386642456,708199.0
150,0.06834491399931655,0.4182,0.8740693099796772,9.610145608266792e-05,0.3965061604976654,756808.0
160,0.07290124159927099,0.4335,0.8702252328395843,9.563175199624237e-05,0.3114957809448242,805829.0
170,0.07745756919922542,0.3865,0.8830083057284355,9.516204790981681e-05,0.42226889729499817,862235.0
180,0.08201389679917986,0.4079,0.8760945200920105,9.469234382339127e-05,0.27570170164108276,913348.0
190,0.0865702243991343,0.4009,0.8780513107776642,9.42226397369657e-05,0.32809165120124817,967255.0
200,0.09112655199908873,0.3997,0.8785457648336887,9.375293565054017e-05,0.3062918484210968,1016423.0
210,0.09568287959904317,0.439,0.8740626238286495,9.328323156411461e-05,0.34437617659568787,1068741.0
220,0.1002392071989976,0.4371,0.8687258005142212,9.281352747768906e-05,0.31496256589889526,1122092.0
230,0.10479553479895204,0.4096,0.8788663357496261,9.23438233912635e-05,0.3624687194824219,1173914.0
240,0.10935186239890649,0.381,0.8837647639214993,9.187411930483796e-05,0.42461344599723816,1224826.0
250,0.11390818999886092,0.3873,0.8820009812712669,9.140441521841241e-05,0.3014969527721405,1277178.0
260,0.11846451759881535,0.4332,0.8724125318229199,9.093471113198685e-05,0.3464970886707306,1324598.0
270,0.1230208451987698,0.4312,0.8727085314691067,9.04650070455613e-05,0.3543926477432251,1371630.0
280,0.12757717279872424,0.3814,0.8835937872529029,8.999530295913575e-05,0.3237847685813904,1429482.0
290,0.13213350039867866,0.4152,0.8757366716861725,8.952559887271019e-05,0.31722936034202576,1480660.0
300,0.1366898279986331,0.3937,0.8812576815485954,8.905589478628464e-05,0.3776719272136688,1529960.0
310,0.14124615559858753,0.4021,0.8788648702204227,8.85861906998591e-05,0.26599979400634766,1583834.0
320,0.14580248319854197,0.3634,0.8870431065559388,8.811648661343354e-05,0.3130740225315094,1635068.0
330,0.15035881079849642,0.3905,0.8841930568218231,8.764678252700799e-05,0.3655302822589874,1683834.0
340,0.15491513839845084,0.4158,0.8735739573836326,8.717707844058243e-05,0.35239455103874207,1732701.0
350,0.15947146599840528,0.3952,0.8804301008582115,8.67073743541569e-05,0.32997381687164307,1785400.0
360,0.16402779359835973,0.407,0.8769730813801289,8.623767026773133e-05,0.33191749453544617,1835983.0
370,0.16858412119831415,0.4046,0.8781627669930459,8.576796618130579e-05,0.2838664948940277,1886436.0
380,0.1731404487982686,0.4052,0.8807953976094722,8.529826209488023e-05,0.34007808566093445,1934552.0
390,0.17769677639822304,0.3749,0.8843965172767639,8.482855800845468e-05,0.37153783440589905,1987924.0
400,0.18225310399817746,0.3856,0.8826226517558098,8.435885392202912e-05,0.36310482025146484,2037483.0
